user_id,risk,label,pv_cnt,cart_cnt,fav_cnt,buy_cnt,act_days,cat_width,recency,tenure,buy_rate,cart_fav,cart_buy_ratio
100,0.41788785128961464,1,64,0,3,8,5,22,2,4,1.6,3,0.375
117,0.4459631826744478,1,124,1,0,10,6,14,1,5,1.6666666666666667,1,0.1
119,0.5858633224056881,1,86,1,4,3,6,24,1,5,0.5,5,1.6666666666666667
121,0.6101696578514465,1,51,0,3,1,5,18,1,5,0.2,3,3.0
122,0.5900632738182591,0,49,2,6,1,5,24,1,5,0.2,8,8.0
165,0.6651744272488787,1,71,0,0,1,5,17,1,5,0.2,0,0.0
178,0.5844404330992019,0,121,15,0,1,6,25,1,5,0.16666666666666666,15,15.0
179,0.603349854349714,1,29,4,1,1,5,26,1,5,0.2,5,5.0
190,0.4186873143330756,0,253,14,0,6,6,80,1,5,1.0,14,2.3333333333333335
192,0.20130821992249287,0,117,7,0,12,6,41,1,5,2.0,7,0.5833333333333334
209,0.5656710688057339,0,93,7,0,2,6,31,1,5,0.3333333333333333,7,3.5
1035,0.6442611286691239,1,32,0,0,1,3,6,3,3,0.3333333333333333,0,0.0
1044,0.5861123930831912,1,17,0,4,1,3,13,2,4,0.3333333333333333,4,4.0
1072,0.6806712708382863,0,51,0,0,1,6,16,1,5,0.16666666666666666,0,0.0
1080,0.5980050631912684,1,37,0,2,1,4,11,1,4,0.25,2,2.0
1083,0.5264774345386712,0,21,0,16,1,3,12,1,2,0.3333333333333333,16,16.0
1105,0.4995884967317243,1,20,5,0,4,3,10,1,4,1.3333333333333333,5,1.25
1114,0.4661429352833542,0,8,0,2,3,2,5,1,4,1.5,2,0.6666666666666666
1119,0.4129335306581799,0,123,8,8,6,6,38,1,5,1.0,16,2.6666666666666665
1120,0.563855075537057,1,137,2,16,3,5,60,1,5,0.6,18,6.0
1124,0.5627869840330336,0,26,2,0,2,4,15,2,4,0.5,2,1.0
1131,0.5535479957859212,0,71,5,4,3,6,44,1,5,0.5,9,3.0
1133,0.588294378424052,0,16,2,2,1,4,8,1,3,0.25,4,4.0
1144,0.5627161179112246,1,40,4,0,2,5,14,1,5,0.4,4,2.0
1146,0.6010706696697318,1,37,3,1,1,5,19,1,5,0.2,4,4.0
1149,0.40647601378169307,0,321,37,0,6,6,111,1,5,1.0,37,6.166666666666667
1156,0.5621830641494948,0,69,8,0,2,6,16,1,5,0.3333333333333333,8,4.0
1159,0.5843214285044124,1,45,18,0,1,5,16,1,5,0.2,18,18.0
1167,0.5952933022493427,1,20,2,0,1,5,8,2,4,0.2,2,2.0
1169,0.6323106693403672,1,87,2,0,1,6,26,1,5,0.16666666666666666,2,2.0
1192,0.480731767416034,0,162,20,0,4,4,25,1,4,1.0,20,5.0
1203,0.645657782481772,1,151,11,0,1,6,48,1,5,0.16666666666666666,11,11.0
1212,0.5030244198712519,0,32,3,0,3,6,19,1,5,0.5,3,1.0
1234,0.402853383350027,1,110,8,0,12,4,27,3,3,3.0,8,0.6666666666666666
1241,0.6029787399936605,1,77,19,0,1,5,27,1,5,0.2,19,19.0
1242,0.6252214090461039,1,42,4,0,1,3,8,1,2,0.3333333333333333,4,4.0
1244,0.6054622132206346,1,3,0,0,1,3,4,2,4,0.3333333333333333,0,0.0
1246,0.5895100270774128,1,81,6,0,2,3,14,1,5,0.6666666666666666,6,3.0
1249,0.28476942795020466,0,170,19,0,24,6,64,1,5,4.0,19,0.7916666666666666
1274,0.558434061681217,1,45,8,0,2,6,18,1,5,0.3333333333333333,8,4.0
1275,0.5986153643430268,1,45,8,1,1,6,14,1,5,0.16666666666666666,9,9.0
1288,0.5052596284068689,0,168,54,0,1,6,40,1,5,0.16666666666666666,54,54.0
1294,0.6250967037900798,1,16,1,0,1,4,7,1,4,0.25,1,1.0
1295,0.6696601964561502,1,80,0,0,1,6,10,1,5,0.16666666666666666,0,0.0
1304,0.43192413906473104,0,26,1,3,4,6,17,1,5,0.6666666666666666,4,1.0
1330,0.5859802064705246,0,10,0,1,1,5,10,1,5,0.2,1,1.0
1335,0.5612284231564914,0,282,4,0,5,6,48,1,5,0.8333333333333334,4,0.8
1340,0.515401227825174,0,11,1,0,2,3,8,1,4,0.6666666666666666,1,0.5
1349,0.5011349176146305,0,3,0,0,1,2,4,1,2,0.5,0,0.0
1351,0.4873224897149757,1,85,10,0,4,5,27,1,5,0.8,10,2.5
1353,0.6200641549257645,1,76,5,0,1,5,23,1,4,0.2,5,5.0
1370,0.6056327492344262,1,51,7,12,1,4,24,1,4,0.25,19,19.0
1373,0.4697140598322333,0,210,21,2,3,6,42,1,5,0.5,23,7.666666666666667
1381,0.6582445406832921,1,19,0,0,1,6,6,1,5,0.16666666666666666,0,0.0
1387,0.5132119280790226,1,29,2,0,3,4,20,1,5,0.75,2,0.6666666666666666
1415,0.6036878790243796,0,39,3,0,1,5,12,2,4,0.2,3,3.0
1416,0.45903012097562945,0,78,5,0,4,6,17,1,5,0.6666666666666666,5,1.25
1421,0.44579814700436676,0,133,9,0,4,5,33,1,5,0.8,9,2.25
1438,0.5589659869705615,1,63,1,2,2,5,20,1,5,0.4,3,1.5
1447,0.6248847503897267,0,18,1,0,1,3,16,1,3,0.3333333333333333,1,1.0
1454,0.5545329327329229,1,31,5,0,3,3,12,2,2,1.0,5,1.6666666666666667
1463,0.568911062356745,1,51,3,0,2,5,8,1,5,0.4,3,1.5
1468,0.5877922661641793,1,17,4,0,1,6,8,1,5,0.16666666666666666,4,4.0
1472,0.5553119867618401,0,16,0,0,2,4,6,1,5,0.5,0,0.0
1474,0.46445419027936735,0,141,2,0,4,6,55,1,5,0.6666666666666666,2,0.5
1483,0.6725809852581038,1,44,0,0,1,4,6,3,3,0.25,0,0.0
1491,0.6370792408468247,1,21,5,0,1,4,12,2,3,0.25,5,5.0
1524,0.6035852969391198,1,92,5,0,1,5,32,1,5,0.2,5,5.0
1529,0.5495829240463375,0,133,3,0,2,5,39,2,4,0.4,3,1.5
1535,0.5664059881115868,1,60,1,0,2,5,25,2,4,0.4,1,0.5
1559,0.49655195020577,1,0,0,0,1,1,1,6,0,1.0,0,0.0
1561,0.5603440838288019,0,38,11,14,1,5,23,1,5,0.2,25,25.0
1563,0.6002993360942174,1,20,5,0,1,5,14,1,5,0.2,5,5.0
1570,0.55959018409103,1,18,1,0,2,6,13,1,5,0.3333333333333333,1,0.5
1606,0.6180821579749183,1,12,2,0,1,3,4,3,3,0.3333333333333333,2,2.0
1642,0.6027195697173177,1,18,6,0,2,6,10,1,5,0.3333333333333333,6,3.0
1652,0.6081719782027868,1,79,0,7,1,3,17,1,5,0.3333333333333333,7,7.0
1664,0.5848103274483492,0,279,4,0,1,5,39,1,4,0.2,4,4.0
1673,0.5946803210201769,0,176,6,0,2,6,40,1,5,0.3333333333333333,6,3.0
1676,0.6315367048035317,1,14,0,1,1,4,6,1,3,0.25,1,1.0
1679,0.6153541526321501,1,0,27,0,2,5,12,1,5,0.4,27,13.5
1682,0.5578765893529494,0,16,9,0,1,6,7,1,5,0.16666666666666666,9,9.0
1698,0.5793886710361574,1,78,1,3,2,4,16,1,4,0.5,4,2.0
1707,0.6141205425790068,1,137,0,3,2,6,28,1,5,0.3333333333333333,3,1.5
1713,0.6514175979830695,0,16,0,0,1,6,8,1,5,0.16666666666666666,0,0.0
1715,0.6838885252062105,1,247,1,0,1,6,21,1,5,0.16666666666666666,1,1.0
1721,0.5934275267980393,0,32,2,4,1,4,10,1,3,0.25,6,6.0
1731,0.6022087230996013,1,14,1,6,1,3,12,2,4,0.3333333333333333,7,7.0
1733,0.6143002462436002,1,19,1,0,1,5,14,1,5,0.2,1,1.0
1735,0.6439818435992464,1,145,2,13,1,6,27,1,5,0.16666666666666666,15,15.0
1748,0.5854239642240177,1,158,18,1,1,6,66,1,5,0.16666666666666666,19,19.0
1766,0.36676322270294304,0,211,43,17,6,6,77,1,5,1.0,60,10.0
1775,0.5920575419275333,0,23,2,0,1,5,15,1,5,0.2,2,2.0
1794,0.651767719186476,1,16,3,8,1,1,5,1,0,1.0,11,11.0
1797,0.6045481226278373,1,17,0,0,1,2,5,3,1,0.5,0,0.0
1813,0.5751927878924813,0,52,0,0,2,6,9,1,5,0.3333333333333333,0,0.0
1827,0.5951099107540833,1,18,1,3,1,4,9,2,4,0.25,4,4.0
1828,0.5560511712618436,0,148,8,0,2,5,45,1,4,0.4,8,4.0
1833,0.3337210198159597,0,83,20,2,8,6,34,1,5,1.3333333333333333,22,2.75
1854,0.6852956658554226,0,35,0,0,1,4,13,1,3,0.25,0,0.0
1857,0.5954331741275708,1,17,0,4,1,5,16,1,5,0.2,4,4.0
1874,0.4207662473374157,0,79,4,0,5,6,34,1,5,0.8333333333333334,4,0.8
1880,0.5591076424809174,0,5,4,0,1,5,6,1,5,0.2,4,4.0
1906,0.5577737890585818,0,60,8,1,2,6,25,1,5,0.3333333333333333,9,4.5
1927,0.6058623975643308,0,54,3,6,1,6,28,1,5,0.16666666666666666,9,9.0
1931,0.5890327996030107,1,100,5,1,2,4,32,1,5,0.5,6,3.0
1943,0.6049299205886483,1,66,0,10,2,5,25,2,4,0.4,10,5.0
1951,0.6151991893797518,0,148,8,0,1,5,31,1,5,0.2,8,8.0
1974,0.598049346211299,1,40,7,0,1,6,22,1,5,0.16666666666666666,7,7.0
1977,0.46723953489946923,0,184,9,0,5,5,28,1,4,1.0,9,1.8
1980,0.6302329540367042,0,30,1,0,1,4,15,1,4,0.25,1,1.0
1982,0.5516848073253621,0,27,1,6,3,6,22,1,5,0.5,7,2.3333333333333335
1997,0.4803463798186966,0,1,1,0,1,2,3,2,4,0.5,1,1.0
2004,0.4933722509648561,0,8,0,1,2,2,5,3,1,1.0,1,0.5
2005,0.4030378740276504,0,14,3,0,4,3,6,1,2,1.3333333333333333,3,0.75
2008,0.37669094524681707,0,0,12,8,2,6,15,1,5,0.3333333333333333,20,10.0
2030,0.6004329872093225,1,15,0,5,2,5,9,1,4,0.4,5,2.5
2037,0.4397449727265282,1,110,8,0,4,5,38,1,4,0.8,8,2.0
2039,0.6099896044198783,1,10,0,0,1,2,2,3,2,0.5,0,0.0
2050,0.5279263897183449,1,68,0,0,3,5,15,1,5,0.6,0,0.0
2104,0.6117380220878842,0,96,7,0,1,6,23,1,5,0.16666666666666666,7,7.0
2105,0.553483178680994,0,21,7,0,3,3,5,1,2,1.0,7,2.3333333333333335
2110,0.606127174489082,0,49,4,1,1,5,21,1,4,0.2,5,5.0
2142,0.59285316353038,1,50,6,0,2,4,20,2,4,0.5,6,3.0
2151,0.5162560996111746,1,118,2,0,3,5,44,1,5,0.6,2,0.6666666666666666
2167,0.3617632346930996,0,70,6,0,6,5,31,1,5,1.2,6,1.0
10008,0.5396221166602748,0,37,8,0,2,5,18,1,5,0.4,8,4.0
10009,0.4251090300226235,0,270,8,0,7,6,67,1,5,1.1666666666666667,8,1.1428571428571428
10020,0.5832231713832247,1,11,2,1,1,4,7,1,4,0.25,3,3.0
10024,0.5738940535716288,0,57,2,2,2,6,26,1,5,0.3333333333333333,4,2.0
