user_id,F,last_buy,M_proxy,R,分层
100,8,2017-11-28,8,5,高频多品类用户
117,10,2017-11-28,5,5,高频多品类用户
119,3,2017-11-29,3,4,高频多品类用户
121,1,2017-11-25,1,8,低频沉睡用户
122,2,2017-12-02,2,1,稳定复购用户
165,1,2017-11-25,1,8,低频沉睡用户
178,2,2017-12-01,2,2,稳定复购用户
179,1,2017-11-27,1,6,低频沉睡用户
190,7,2017-12-02,7,1,高频多品类用户
192,13,2017-12-03,12,0,高频多品类用户
209,3,2017-12-02,3,1,高频多品类用户
210,2,2017-12-03,2,0,稳定复购用户
1035,1,2017-11-28,1,5,低频沉睡用户
1044,1,2017-11-29,1,4,低频沉睡用户
1072,3,2017-12-03,2,0,高频多品类用户
1080,1,2017-11-26,1,7,低频沉睡用户
1083,3,2017-12-03,3,0,高频多品类用户
1095,1,2017-12-02,1,1,新购买用户
1098,1,2017-12-02,1,1,新购买用户
1105,4,2017-11-26,4,7,高频多品类用户
1114,4,2017-12-02,4,1,高频多品类用户
1119,8,2017-12-03,8,0,高频多品类用户
1120,3,2017-11-28,3,5,高频多品类用户
1124,4,2017-12-03,4,0,高频多品类用户
1131,4,2017-12-02,4,1,高频多品类用户
1133,2,2017-12-02,2,1,稳定复购用户
1143,1,2017-12-01,1,2,低频沉睡用户
1144,2,2017-11-28,2,5,稳定复购用户
1146,1,2017-11-29,1,4,低频沉睡用户
1149,7,2017-12-03,6,0,高频多品类用户
1156,10,2017-12-03,7,0,高频多品类用户
1158,2,2017-12-03,2,0,稳定复购用户
1159,1,2017-11-25,1,8,低频沉睡用户
1167,1,2017-11-25,1,8,低频沉睡用户
1169,1,2017-11-28,1,5,低频沉睡用户
1182,2,2017-12-03,2,0,稳定复购用户
1189,2,2017-12-03,2,0,稳定复购用户
1192,9,2017-12-02,8,1,高频多品类用户
1203,1,2017-11-26,1,7,低频沉睡用户
1212,6,2017-12-03,5,0,高频多品类用户
1234,12,2017-11-27,6,6,高频多品类用户
1241,1,2017-11-28,1,5,低频沉睡用户
1242,1,2017-11-28,1,5,低频沉睡用户
1244,1,2017-11-29,1,4,低频沉睡用户
1246,2,2017-11-30,2,3,稳定复购用户
1249,26,2017-12-01,23,2,高频多品类用户
1253,2,2017-12-01,1,2,稳定复购用户
1274,2,2017-11-29,2,4,稳定复购用户
1275,1,2017-11-25,1,8,低频沉睡用户
1281,3,2017-12-02,1,1,稳定复购用户
1288,2,2017-12-03,2,0,稳定复购用户
1294,1,2017-11-29,1,4,低频沉睡用户
1295,1,2017-11-28,1,5,低频沉睡用户
1304,6,2017-12-02,5,1,高频多品类用户
1330,2,2017-12-01,2,2,稳定复购用户
1335,10,2017-12-02,8,1,高频多品类用户
1340,3,2017-12-03,3,0,高频多品类用户
1349,2,2017-12-01,2,2,稳定复购用户
1351,4,2017-11-30,3,3,高频多品类用户
1353,1,2017-11-27,1,6,低频沉睡用户
1366,2,2017-12-03,2,0,稳定复购用户
1370,1,2017-11-27,1,6,低频沉睡用户
1373,4,2017-12-03,4,0,高频多品类用户
1381,1,2017-11-25,1,8,低频沉睡用户
1387,3,2017-11-30,3,3,高频多品类用户
1393,2,2017-12-01,2,2,稳定复购用户
1411,2,2017-12-02,2,1,稳定复购用户
1415,3,2017-12-02,2,1,高频多品类用户
1416,5,2017-12-01,4,2,高频多品类用户
1421,6,2017-12-02,5,1,高频多品类用户
1437,1,2017-12-03,1,0,新购买用户
1438,2,2017-11-27,2,6,稳定复购用户
1447,2,2017-12-02,2,1,稳定复购用户
1449,2,2017-12-02,2,1,稳定复购用户
1454,3,2017-11-29,3,4,高频多品类用户
1463,2,2017-11-27,2,6,稳定复购用户
1468,1,2017-11-27,1,6,低频沉睡用户
1472,4,2017-12-03,4,0,高频多品类用户
1474,5,2017-12-02,5,1,高频多品类用户
1483,1,2017-11-25,1,8,低频沉睡用户
1491,1,2017-11-28,1,5,低频沉睡用户
1522,1,2017-12-03,1,0,新购买用户
1524,1,2017-11-26,1,7,低频沉睡用户
1529,3,2017-12-01,2,2,高频多品类用户
1532,1,2017-12-02,1,1,新购买用户
1535,2,2017-11-26,2,7,稳定复购用户
1550,2,2017-12-01,2,2,稳定复购用户
1551,2,2017-12-03,2,0,稳定复购用户
1559,1,2017-11-25,1,8,低频沉睡用户
1561,3,2017-12-01,3,2,高频多品类用户
1563,1,2017-11-28,1,5,低频沉睡用户
1570,2,2017-11-29,2,4,稳定复购用户
1606,1,2017-11-25,1,8,低频沉睡用户
1642,2,2017-11-27,2,6,稳定复购用户
1645,4,2017-12-03,4,0,高频多品类用户
1652,1,2017-11-30,1,3,低频沉睡用户
1664,2,2017-12-02,2,1,稳定复购用户
1673,3,2017-12-01,3,2,高频多品类用户
1676,1,2017-11-29,1,4,低频沉睡用户
1679,2,2017-11-28,2,5,稳定复购用户
1682,2,2017-12-02,2,1,稳定复购用户
1689,3,2017-12-02,2,1,高频多品类用户
1698,2,2017-11-27,2,6,稳定复购用户
1707,2,2017-11-30,2,3,稳定复购用户
1713,2,2017-12-01,2,2,稳定复购用户
1715,1,2017-11-25,1,8,低频沉睡用户
1721,3,2017-12-02,2,1,高频多品类用户
1731,1,2017-11-25,1,8,低频沉睡用户
1733,1,2017-11-30,1,3,低频沉睡用户
1735,1,2017-11-27,1,6,低频沉睡用户
1748,1,2017-11-27,1,6,低频沉睡用户
1766,10,2017-12-03,9,0,高频多品类用户
1775,2,2017-12-02,2,1,稳定复购用户
1794,1,2017-11-30,1,3,低频沉睡用户
1797,1,2017-11-27,1,6,低频沉睡用户
1813,3,2017-12-02,2,1,高频多品类用户
1817,1,2017-12-03,1,0,新购买用户
1827,1,2017-11-27,1,6,低频沉睡用户
1828,3,2017-12-02,3,1,高频多品类用户
